CODICE;Geo Point;Geo Shape
6578;44.4918476320535, 11.370713658830905;"{""coordinates"": [11.370713658830905, 44.4918476320535], ""type"": ""Point""}"
6562;44.49078159820869, 11.36607394912432;"{""coordinates"": [11.36607394912432, 44.49078159820869], ""type"": ""Point""}"
6568;44.48895739432472, 11.371364342464604;"{""coordinates"": [11.371364342464604, 44.48895739432472], ""type"": ""Point""}"
6357;44.48853009653272, 11.357778749742224;"{""coordinates"": [11.357778749742224, 44.48853009653272], ""type"": ""Point""}"
6358;44.48738714535567, 11.35791474519683;"{""coordinates"": [11.35791474519683, 44.48738714535567], ""type"": ""Point""}"
6300;44.48532111973231, 11.36037477622595;"{""coordinates"": [11.36037477622595, 44.48532111973231], ""type"": ""Point""}"
6373;44.48797828258719, 11.362854175808131;"{""coordinates"": [11.362854175808131, 44.48797828258719], ""type"": ""Point""}"
6369;44.48545684139006, 11.365569816645598;"{""coordinates"": [11.365569816645598, 44.48545684139006], ""type"": ""Point""}"
6362;44.484490362249545, 11.362533646421813;"{""coordinates"": [11.362533646421813, 44.484490362249545], ""type"": ""Point""}"
8711;44.512237979128805, 11.287590908835591;"{""coordinates"": [11.287590908835591, 44.512237979128805], ""type"": ""Point""}"
8718;44.51686402058847, 11.276763492290065;"{""coordinates"": [11.276763492290065, 44.51686402058847], ""type"": ""Point""}"
8713;44.5162863101463, 11.281589446427581;"{""coordinates"": [11.281589446427581, 44.5162863101463], ""type"": ""Point""}"
6490;44.49059136990083, 11.355921448181618;"{""coordinates"": [11.355921448181618, 44.49059136990083], ""type"": ""Point""}"
6480;44.490911401436804, 11.355098684767333;"{""coordinates"": [11.355098684767333, 44.490911401436804], ""type"": ""Point""}"
6297;44.48919028868684, 11.363080500203314;"{""coordinates"": [11.363080500203314, 44.48919028868684], ""type"": ""Point""}"
6496;44.49278969902428, 11.361815266135538;"{""coordinates"": [11.361815266135538, 44.49278969902428], ""type"": ""Point""}"
6493;44.49224105315523, 11.364940894892925;"{""coordinates"": [11.364940894892925, 44.49224105315523], ""type"": ""Point""}"
17230;44.526278111555726, 11.331232627595702;"{""coordinates"": [11.331232627595702, 44.526278111555726], ""type"": ""Point""}"
17231;44.526342786337686, 11.331599339684496;"{""coordinates"": [11.331599339684496, 44.526342786337686], ""type"": ""Point""}"
17235;44.483127854005815, 11.37558686201572;"{""coordinates"": [11.37558686201572, 44.483127854005815], ""type"": ""Point""}"
17236;44.48624334571671, 11.375208733558877;"{""coordinates"": [11.375208733558877, 44.48624334571671], ""type"": ""Point""}"
17239;44.525678384675096, 11.327007674732675;"{""coordinates"": [11.327007674732675, 44.525678384675096], ""type"": ""Point""}"
17244;44.487872395066056, 11.361843139272736;"{""coordinates"": [11.361843139272736, 44.487872395066056], ""type"": ""Point""}"
17252;44.49338528182279, 11.287805568946935;"{""coordinates"": [11.287805568946935, 44.49338528182279], ""type"": ""Point""}"
17254;44.49576428884342, 11.373962433492775;"{""coordinates"": [11.373962433492775, 44.49576428884342], ""type"": ""Point""}"
17260;44.517421398394276, 11.374556308504614;"{""coordinates"": [11.374556308504614, 44.517421398394276], ""type"": ""Point""}"
17268;44.525645701149266, 11.29761289300478;"{""coordinates"": [11.29761289300478, 44.525645701149266], ""type"": ""Point""}"
17269;44.52546321613869, 11.296661493178215;"{""coordinates"": [11.296661493178215, 44.52546321613869], ""type"": ""Point""}"
6191;44.49744882494048, 11.344832324825697;"{""coordinates"": [11.344832324825697, 44.49744882494048], ""type"": ""Point""}"
6197;44.495812131010396, 11.34512276575225;"{""coordinates"": [11.34512276575225, 44.495812131010396], ""type"": ""Point""}"
6076;44.49309616054164, 11.34547588669711;"{""coordinates"": [11.34547588669711, 44.49309616054164], ""type"": ""Point""}"
6228;44.49372718832567, 11.347707625682153;"{""coordinates"": [11.347707625682153, 44.49372718832567], ""type"": ""Point""}"
6220;44.494299253272544, 11.346186645948247;"{""coordinates"": [11.346186645948247, 44.494299253272544], ""type"": ""Point""}"
6233;44.494705900567844, 11.346932009660923;"{""coordinates"": [11.346932009660923, 44.494705900567844], ""type"": ""Point""}"
6225;44.4944910937022, 11.348432838282248;"{""coordinates"": [11.348432838282248, 44.4944910937022], ""type"": ""Point""}"
6235;44.49546792278304, 11.346709625945309;"{""coordinates"": [11.346709625945309, 44.49546792278304], ""type"": ""Point""}"
6216;44.495091954418676, 11.347504003460955;"{""coordinates"": [11.347504003460955, 44.495091954418676], ""type"": ""Point""}"
15291;44.49138249476713, 11.343114620079998;"{""coordinates"": [11.343114620079998, 44.49138249476713], ""type"": ""Point""}"
6067;44.49237807702329, 11.342471352487868;"{""coordinates"": [11.342471352487868, 44.49237807702329], ""type"": ""Point""}"
6094;44.49255639505042, 11.344512939918959;"{""coordinates"": [11.344512939918959, 44.49255639505042], ""type"": ""Point""}"
6081;44.492098518470236, 11.34418134106596;"{""coordinates"": [11.34418134106596, 44.492098518470236], ""type"": ""Point""}"
6084;44.49146467368743, 11.344963288424003;"{""coordinates"": [11.344963288424003, 44.49146467368743], ""type"": ""Point""}"
6085;44.492048813929785, 11.345604003089814;"{""coordinates"": [11.345604003089814, 44.492048813929785], ""type"": ""Point""}"
6077;44.49205997860552, 11.345140344572775;"{""coordinates"": [11.345140344572775, 44.49205997860552], ""type"": ""Point""}"
6088;44.493230429861185, 11.343642580834437;"{""coordinates"": [11.343642580834437, 44.493230429861185], ""type"": ""Point""}"
6068;44.493160970316445, 11.342664314469056;"{""coordinates"": [11.342664314469056, 44.493160970316445], ""type"": ""Point""}"
123;44.491699303465865, 11.341081790435457;"{""coordinates"": [11.341081790435457, 44.491699303465865], ""type"": ""Point""}"
6072;44.492982078472444, 11.34636610844946;"{""coordinates"": [11.34636610844946, 44.492982078472444], ""type"": ""Point""}"
6116;44.48902560665361, 11.347414229852989;"{""coordinates"": [11.347414229852989, 44.48902560665361], ""type"": ""Point""}"
6121;44.49096874468558, 11.346545002144333;"{""coordinates"": [11.346545002144333, 44.49096874468558], ""type"": ""Point""}"
6063;44.49045292079109, 11.345486351670955;"{""coordinates"": [11.345486351670955, 44.49045292079109], ""type"": ""Point""}"
6114;44.49036126872495, 11.34990298357434;"{""coordinates"": [11.34990298357434, 44.49036126872495], ""type"": ""Point""}"
6129;44.49151055593496, 11.345873548215287;"{""coordinates"": [11.345873548215287, 44.49151055593496], ""type"": ""Point""}"
6106;44.49125615901374, 11.348867310299024;"{""coordinates"": [11.348867310299024, 44.49125615901374], ""type"": ""Point""}"
6113;44.492354753502134, 11.351334514017397;"{""coordinates"": [11.351334514017397, 44.492354753502134], ""type"": ""Point""}"
6135;44.49174548038592, 11.350468782514996;"{""coordinates"": [11.350468782514996, 44.49174548038592], ""type"": ""Point""}"
5988;44.488961224102304, 11.346294333833672;"{""coordinates"": [11.346294333833672, 44.488961224102304], ""type"": ""Point""}"
6123;44.48999782339092, 11.352421602695246;"{""coordinates"": [11.352421602695246, 44.48999782339092], ""type"": ""Point""}"
6140;44.4938082984679, 11.351877448063524;"{""coordinates"": [11.351877448063524, 44.4938082984679], ""type"": ""Point""}"
6136;44.49356151938918, 11.351818032154833;"{""coordinates"": [11.351818032154833, 44.49356151938918], ""type"": ""Point""}"
15092;44.49304848264332, 11.340553768676312;"{""coordinates"": [11.340553768676312, 44.49304848264332], ""type"": ""Point""}"
149;44.49392773061925, 11.340777618141193;"{""coordinates"": [11.340777618141193, 44.49392773061925], ""type"": ""Point""}"
6786;44.475683103951155, 11.385407506788853;"{""coordinates"": [11.385407506788853, 44.475683103951155], ""type"": ""Point""}"
6787;44.47492778471915, 11.385389015817866;"{""coordinates"": [11.385389015817866, 44.47492778471915], ""type"": ""Point""}"
6801;44.474509384527515, 11.387522533441334;"{""coordinates"": [11.387522533441334, 44.474509384527515], ""type"": ""Point""}"
